Source,SamplingMethod,SampleID,CollectionDate,Genus,Species,Location,Latitude,Longitude,StartLat,StartLong,MidLat,MidLong,EndLat,EndLong,ReleaseLat,ReleaseLong,Depth_m,ShotDuration_mins,Sex,Weight_g,SVL_cm,TailL_cm,PIT_tag,DArTseq,Notes
trawled_seasnakes.xlsx,Trawl,SS150217-01,2015/02/17,Aipysurus,foliosquama,Shark Bay,,,-25.656583,113.257150,-25.665675,113.257158,-25.674767,113.257167,,,16.00,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150316-01,2015/03/16,Aipysurus,foliosquama,Shark Bay,,,-25.412950,113.422667,-25.400458,113.420417,-25.387967,113.418167,,,14.10,25,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150316-02,2015/03/16,Aipysurus,foliosquama,Shark Bay,,,-25.412950,113.422667,-25.400458,113.420417,-25.387967,113.418167,,,14.10,25,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150318-01,2015/03/18,Aipysurus,foliosquama,Shark Bay,,,-25.134833,113.426200,-25.121333,113.419850,-25.107833,113.413500,,,18.70,30,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150412-04,2015/04/12,Aipysurus,foliosquama,Shark Bay,,,-24.956867,113.273667,-24.964267,113.278358,-24.971667,113.283050,,,19.50,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150412-06,2015/04/12,Aipysurus,foliosquama,Shark Bay,,,-25.105783,113.329800,-25.114100,113.332625,-25.122417,113.335450,,,22.20,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150413-02,2015/04/13,Aipysurus,foliosquama,Shark Bay,,,-25.375733,113.441483,-25.384867,113.440683,-25.394000,113.439883,,,13.80,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150512-03,2015/05/12,Aipysurus,foliosquama,Shark Bay,,,-25.338650,113.558533,-25.329492,113.553908,-25.320333,113.549283,,,14.10,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS151110-01,2015/11/10,Aipysurus,foliosquama,Shark Bay,,,-25.366817,113.667150,-25.375183,113.670117,-25.383550,113.673083,,,13.40,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS151113-01,2015/11/13,Aipysurus,foliosquama,Shark Bay,,,-24.883850,113.276767,-24.875133,113.277758,-24.866417,113.278750,,,19.90,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS151114-01,2015/11/14,Aipysurus,foliosquama,Shark Bay,,,-24.952300,113.199833,-24.961317,113.197608,-24.970333,113.195383,,,16.70,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS151118-02,2015/11/18,Aipysurus,foliosquama,Shark Bay,,,-25.572583,113.201733,-25.563775,113.203550,-25.554967,113.205367,,,18.00,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160225-02,2016/02/25,Aipysurus,foliosquama,Shark Bay,,,-25.605733,113.220383,-25.596308,113.218117,-25.586883,113.215850,,,16.40,20,,,,,,,
